date,tinbet-Amazonas,isPartial,tinbet-Apurímac,tinbet-Arequipa,tinbet-Ayacucho,tinbet-Cajamarca,tinbet-Callao,tinbet-Cuzco,tinbet-Departamento de Lima,tinbet-Huancavelica,tinbet-Huánuco,tinbet-Ica,tinbet-Junín,tinbet-La Libertad,tinbet-Lambayeque,tinbet-Loreto,tinbet-Madre de Dios,tinbet-Moquegua,tinbet-Pasco,tinbet-Piura,tinbet-Puno,tinbet-San Martín,tinbet-Tacna,tinbet-Tumbes,tinbet-Ucayali,tinbet-Áncash
2019-06-16,0,False,0,0,0,0,0,0,0,0,0,0,44,22,0,0,0,0,0,0,0,73,0,0,0,0
2019-06-23,0,False,0,0,0,61,0,0,0,0,0,70,51,26,0,0,0,0,0,0,0,67,0,0,0,0
2019-06-30,0,False,0,0,0,0,0,0,0,0,0,0,31,39,0,59,0,0,0,0,0,99,0,0,88,0
2019-07-07,0,False,0,0,0,0,0,0,0,0,68,95,0,33,0,0,0,0,0,0,0,68,0,0,0,0
2019-07-14,0,False,0,0,0,0,0,0,0,0,0,0,41,34,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,False,0,0,0,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,100,False,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,51,0,0,0,0
2019-08-04,0,False,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,66,0,0,0,0
2019-08-11,0,False,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,49,0,0,0,0
2019-08-18,0,False,0,0,0,0,0,0,0,0,74,0,28,0,0,0,0,0,0,0,0,48,0,0,0,0
2019-08-25,0,False,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,100,0,0,0,0
2019-09-01,0,False,0,0,0,63,0,0,0,0,0,0,42,32,0,0,0,0,0,0,0,35,0,0,0,0
2019-09-08,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
2019-09-15,0,False,0,0,0,59,0,0,0,0,57,0,0,23,0,53,0,0,0,0,0,45,0,0,0,0
2019-09-22,0,False,0,0,0,0,0,0,0,0,0,0,41,24,0,0,0,0,0,0,0,46,0,0,0,0
2019-09-29,0,False,0,0,0,86,0,0,0,0,53,0,42,40,0,0,0,0,0,0,0,54,0,0,0,0
2019-10-06,0,False,0,0,0,91,0,0,0,0,0,0,30,37,0,0,0,0,0,0,0,55,0,0,0,0
2019-10-13,0,False,0,0,0,0,0,0,0,0,69,0,41,41,0,0,0,0,0,0,0,59,0,0,0,0
2019-10-20,0,False,0,0,0,0,0,0,0,0,70,0,45,41,0,0,0,0,0,0,0,56,0,0,0,0
2019-10-27,0,False,0,0,0,61,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,52,0,0,59,0
2019-11-03,0,False,0,0,0,76,0,0,0,0,0,0,34,38,0,0,0,0,0,0,0,36,0,0,0,0
2019-11-10,0,False,0,0,0,0,0,0,0,0,87,100,35,0,0,0,0,0,0,0,0,0,0,0,54,0
2019-11-17,0,False,0,0,0,0,0,0,0,0,0,0,40,33,0,0,0,0,0,0,0,0,0,0,78,0
2019-11-24,0,False,0,0,0,57,0,0,0,0,74,0,39,39,0,0,0,0,0,0,0,74,0,0,0,0
2019-12-01,0,False,0,0,0,94,0,0,0,0,67,0,25,0,0,53,0,0,0,0,0,82,0,0,0,0
2019-12-08,0,False,0,0,0,100,0,0,0,0,0,0,88,34,0,0,0,0,0,100,0,68,0,0,68,0
2019-12-15,0,False,0,0,0,66,0,0,0,0,0,0,40,31,0,0,0,0,0,0,0,76,0,0,68,0
2019-12-22,0,False,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,49,0,0,0,0
2019-12-29,0,False,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,False,0,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,0,54,0,0,0,0
2020-01-12,0,False,0,0,0,83,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
2020-01-19,0,False,0,0,0,0,0,0,0,0,0,0,27,0,0,48,0,0,0,0,0,34,0,0,0,0
2020-01-26,0,False,0,0,0,67,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,60,0,0,0,0
2020-02-02,0,False,0,0,0,0,0,0,0,0,96,0,29,31,0,0,0,0,0,0,0,65,0,0,61,0
2020-02-09,88,False,0,0,0,0,0,0,0,0,94,0,36,34,0,0,0,0,0,0,0,75,0,0,0,0
2020-02-16,0,False,0,0,0,79,0,0,0,0,59,0,29,27,0,46,0,0,0,0,0,55,0,0,0,0
2020-02-23,0,False,0,0,0,69,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,66,0,0,61,0
2020-03-01,0,False,0,0,0,0,0,0,0,0,0,0,38,34,0,0,96,0,0,0,0,46,0,0,0,0
2020-03-08,0,False,0,0,0,85,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,58,0,0,0,0
2020-03-15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2020-07-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
2020-07-26,0,False,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,43,0,0,67,0
2020-08-02,0,False,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,False,0,0,95,75,0,0,0,0,0,0,26,20,0,46,0,0,100,0,0,33,0,0,0,0
